	sequences per sample	iteration	S005.1	S006.1	S013.1	S014.1	S005.2	S006.2	S013.2	S014.2
alpha_rarefaction_600000_0.txt	600000	0	71.24043	73.37115	61.83868	59.90379	77.55978	75.62463	66.89099	69.84759
alpha_rarefaction_600000_1.txt	600000	1	71.72326	73.50557	62.20482	60.26945	77.52945	76.08644	66.6589	68.97338
alpha_rarefaction_600000_2.txt	600000	2	71.84876	73.10786	62.76251	58.43945	77.83482	75.84586	65.72284	68.07995
alpha_rarefaction_600000_3.txt	600000	3	71.76005	73.89516	61.2232	59.09626	77.71142	75.49413	67.12434	66.90199
alpha_rarefaction_600000_4.txt	600000	4	71.88894	72.48004	61.9887	59.19291	77.80463	75.55102	65.30297	67.93411
alpha_rarefaction_600000_5.txt	600000	5	71.81762	72.91931	61.29032	60.54209	77.81292	76.06838	65.05527	67.6331
alpha_rarefaction_600000_6.txt	600000	6	70.2786	73.11404	62.30489	59.19111	77.81049	75.65922	66.36397	67.61412
alpha_rarefaction_600000_7.txt	600000	7	71.63442	73.56755	60.61661	59.4571	77.59199	75.57221	65.00576	69.14145
alpha_rarefaction_600000_8.txt	600000	8	70.36394	72.61444	61.60036	58.48305	77.81824	75.5829	66.1992	67.03945
alpha_rarefaction_600000_9.txt	600000	9	72.09974	73.09726	60.81384	58.9001	77.83482	75.98533	64.93862	69.10733
