	sequences per sample	iteration	S006.1B	S005.1B	S005.1	S006.1	S005.2B	S006.2B	S006.2	S005.2	S014.1B	S014.2B	S013.1	S013.1B	S013.2	S014.1	S014.2	S013.2B
alpha_rarefaction_600000_0.txt	600000	0	100.28047	95.9261	101.16928	107.90961	109.98618	110.71776	114.84409	114.32822	100.12943	114.1952	102.41343	98.65625	119.4854	99.70228	115.0149	113.55227
alpha_rarefaction_600000_1.txt	600000	1	102.37658	96.15579	100.94432	108.83539	109.28291	110.58137	114.83747	114.01593	99.92398	114.91404	102.64025	98.83174	118.88414	98.70981	114.38823	114.93633
alpha_rarefaction_600000_2.txt	600000	2	100.96222	96.79658	100.50763	109.22465	110.5244	110.17115	114.91215	113.40596	99.33318	115.17444	101.75551	98.97348	118.51797	99.25144	114.98866	114.33923
alpha_rarefaction_600000_3.txt	600000	3	101.144	95.76177	101.22335	108.41303	110.28528	110.44957	114.86807	114.16873	99.50819	115.4033	102.27936	97.8123	117.72638	98.61006	114.91585	114.52572
alpha_rarefaction_600000_4.txt	600000	4	101.62301	96.63308	101.1563	107.33666	110.8821	109.76592	114.59429	114.46386	99.11955	115.22517	102.03195	98.6869	118.5852	98.29897	115.22801	114.1693
alpha_rarefaction_600000_5.txt	600000	5	101.71165	96.32532	100.5786	107.40312	109.26912	110.62868	114.34865	114.13169	99.99989	115.62231	101.65851	98.47821	118.64906	99.11625	113.72248	114.67231
alpha_rarefaction_600000_6.txt	600000	6	101.40845	95.3599	101.17469	108.2333	110.07179	110.69934	114.86648	114.24576	99.75075	114.28572	102.79816	99.38512	119.02339	99.31019	115.9598	114.05876
alpha_rarefaction_600000_7.txt	600000	7	101.36356	96.2127	101.07265	107.89474	110.25613	110.29206	114.76151	114.18684	99.36009	114.78901	101.83882	99.25248	119.25354	98.37404	114.52483	115.29206
alpha_rarefaction_600000_8.txt	600000	8	101.58829	95.6591	101.17723	108.18882	109.54537	110.00089	114.90503	113.65622	99.75806	113.78605	102.17236	99.05232	118.26442	99.71722	115.46016	113.34289
alpha_rarefaction_600000_9.txt	600000	9	99.91693	96.39353	101.17579	108.77941	110.27137	109.93693	114.52449	114.29826	99.52231	114.72351	102.44215	98.95812	118.49559	99.68995	115.24183	113.39949
