	sequences per sample	iteration	S005.1	S006.1	S013.1	S014.1	S005.2	S006.2	S013.2	S014.2
alpha_rarefaction_600000_0.txt	600000	0	4.01436406847	4.05343865094	4.11462384165	3.95944762052	4.34709808443	4.44889934642	3.74007304121	4.05131299176
alpha_rarefaction_600000_1.txt	600000	1	4.01575002638	4.05489177343	4.11706848332	3.96145109699	4.34648122238	4.44639711776	3.73874879008	4.05408884221
alpha_rarefaction_600000_2.txt	600000	2	4.01287098241	4.05719825539	4.11188066033	3.95919686099	4.34575468938	4.4483886694	3.74220170093	4.05032793704
alpha_rarefaction_600000_3.txt	600000	3	4.01405224975	4.05599233781	4.11407704369	3.96220215244	4.34689598978	4.44555881698	3.73983726705	4.05230604189
alpha_rarefaction_600000_4.txt	600000	4	4.01534355761	4.05506787936	4.11731520926	3.95966841631	4.34553326037	4.44816429364	3.73884261848	4.05128232707
alpha_rarefaction_600000_5.txt	600000	5	4.01384423602	4.05761960871	4.11316567387	3.96341768881	4.34715403603	4.44818449628	3.73833115839	4.05205031181
alpha_rarefaction_600000_6.txt	600000	6	4.01827922713	4.05546808616	4.1136807178	3.96175413507	4.34628640915	4.44707961336	3.73921389552	4.05331916927
alpha_rarefaction_600000_7.txt	600000	7	4.01578680493	4.05574715461	4.11441115001	3.96161839601	4.34782979281	4.44667618287	3.73602518129	4.05086843525
alpha_rarefaction_600000_8.txt	600000	8	4.0169147442	4.05475639251	4.11252378965	3.96339509983	4.34779194747	4.44728597708	3.74205423159	4.0528954121
alpha_rarefaction_600000_9.txt	600000	9	4.01326821702	4.05591749242	4.11341970899	3.96040083135	4.34603945915	4.44730841455	3.73932023464	4.05469956353
