	sequences per sample	iteration	S006.1B	S005.1B	S005.1	S006.1	S005.2B	S006.2B	S006.2	S005.2	S014.1B	S014.2B	S013.1	S013.1B	S013.2	S014.1	S014.2	S013.2B
alpha_rarefaction_600000_0.txt	600000	0	4.71369252758	4.53839784548	4.64945862999	4.45885058462	5.44835182253	5.5728317944	5.21419878941	5.26153605887	3.63753582135	3.75392769729	3.8993753274	4.06376701617	4.28827736485	3.96767513187	4.09531888348	4.09613130694
alpha_rarefaction_600000_1.txt	600000	1	4.71455749957	4.54191371763	4.64899911286	4.45651590561	5.44828631028	5.57208404129	5.21272806326	5.26445088867	3.642854229	3.75594796053	3.90144757623	4.06500682969	4.2917726683	3.96935998565	4.09824957121	4.09691551873
alpha_rarefaction_600000_2.txt	600000	2	4.71060410013	4.54356188793	4.65094373339	4.45318809826	5.44451389843	5.57242043288	5.21365957679	5.26469559734	3.63989691433	3.75235042229	3.90094604149	4.06236422233	4.29365226363	3.96789961681	4.09326846047	4.09277046673
alpha_rarefaction_600000_3.txt	600000	3	4.7092779217	4.54541014991	4.64902477471	4.4563814707	5.4482914898	5.57253094696	5.21279262173	5.26280012318	3.63484404095	3.74994431272	3.89569888547	4.06276017104	4.29339660659	3.96741429624	4.09293562493	4.09289929792
alpha_rarefaction_600000_4.txt	600000	4	4.71237678962	4.54066511876	4.64873085045	4.45814834369	5.44794445362	5.56925486697	5.21287886632	5.26363591744	3.6372464221	3.756520765	3.90412898734	4.06768440354	4.2890771866	3.96607998403	4.0972355792	4.09556389839
alpha_rarefaction_600000_5.txt	600000	5	4.71547435932	4.54124544592	4.65114727526	4.45433714047	5.45069692337	5.57254585816	5.21250495099	5.26616937526	3.63689869688	3.74639436614	3.89756453283	4.06138743198	4.28932226397	3.96886410852	4.10094735797	4.0939597148
alpha_rarefaction_600000_6.txt	600000	6	4.70939026727	4.54182130032	4.64881407888	4.45789869974	5.44793686952	5.57212984893	5.21204671537	5.2609399175	3.63605686602	3.75526502058	3.90062513933	4.06330627978	4.291204972	3.96860370078	4.10291817345	4.09457753645
alpha_rarefaction_600000_7.txt	600000	7	4.71123582743	4.54453796857	4.65104487044	4.45658759681	5.4513012629	5.57184288354	5.21275463495	5.26348793037	3.63841741928	3.75998355811	3.89563700044	4.06082833489	4.29297467268	3.97092751568	4.10133548854	4.09442876307
alpha_rarefaction_600000_8.txt	600000	8	4.71387407569	4.54077717333	4.64993126287	4.45846390552	5.44744710401	5.57173936867	5.21249255666	5.26246027343	3.64066622788	3.7569545983	3.89671400323	4.06215570071	4.29203614306	3.96415141509	4.09487396464	4.09630661495
alpha_rarefaction_600000_9.txt	600000	9	4.71065499352	4.54394496023	4.64976527173	4.45421321166	5.45056915335	5.57224351996	5.21352377353	5.26251768108	3.64159916918	3.75184121801	3.90097745293	4.06229912187	4.2871539929	3.9673491559	4.10481140054	4.09004917019
